問題,答え
本名をステファニー・ジョアン・アンジェリーナ・ジャーマノッタという、代表曲に「Rain on me 」、「Born this way」、「Poker Face」などがあるアメリカのシンガーソングライターは誰でしょう？,レディー・ガガ
鎌倉幕府を倒した 後醍醐天皇が始めた、天皇を中心とする新たな政治のことを当時の元号からなんというでしょう？,建武の新政
頭を撃たれた者が撃たれた時に後悔したことを死ぬ気でがんばってしまうという「死ぬ気弾」を使って、ある赤ん坊がダメツナこと沢田綱吉をイタリアンマフィア・ボンゴレファミリーの10代目ボスとして立派に育て上げてゆく天野明による漫画はなんでしょう？,家庭教師ヒットマンREBORN!
ラパン、スペーシア、ハスラー、ジムニーなどの車種を販売する日本の企業はどこでしょう？,スズキ
日本語では「人孔(じんこう)」という、地下の管渠(かんきょ)内で点検、調査など維持管理を行う人が出入りするための設備のことを英語でなんというでしょう？,マンホール
一種類の豆から淹れられたコーヒーのことを数種類のコーヒー豆が配合されている「ブレンド」に対しなんというでしょう？,ストレート ⚪︎シングル
木材、レンガ、小麦、鉱石、羊毛の5種類の資源を使い無人島を開拓してゆく1995年にコスモス社から発売されたボードゲームはなんでしょう？,カタンの開拓者たち ⚪︎カタン
バスケットボールにおいて、ボールがリングに当たらず綺麗にシュートが入ることを英語のオノマトペでなんというでしょう？,Swish(スウィッシュ)
2024年10月23日に東証プライム市場に上場した、銀座線や丸の内線などの路線を東京都区部およびその周辺地域で経営する鉄道事業者はなんでしょう？,東京地下鉄株式会社 ⚪︎東京メトロ
日本銀行など先進国の中央銀行が政策金利を上げるとき、一般的に一回の金利の上げ幅は何%でしょう？,0.25%
「熱狂のゴールドラッシュが過ぎて数十年。かつての活気が失われた鉱山を猛スピードで駆けぬけるのは、機関士のいない鉱山列車。目前に迫る岩肌、傾斜しながら一気にくだるスリルに思わず声をあげてしまいそう！」という紹介文が公式ページに書かれている東京ディズニーランドのアトラクションはなんでしょう？,ビッグサンダーマウンテン
2024/11/25-2025/2/28まで行われる東京メトロの謎解きイベント「謎解き地下遊技場」に謎を提供している企業はどこでしょう？,QuizKnock
犬の「ふくちゃん」をマスコットキャラクターとする、千葉県、東京都、埼玉県に店舗を展開するドラッグストアはなんでしょう？,くすりの福太郎
CPUやGPUとは異なる仕組みで動作し、AIの演算処理に特化した専用のプロセッサーのことをなんというでしょう？,NPU（Neural network Processing Unit）
2024年分の期間は2025年2月17日から3月17日である、一般に個人納税者の所得税の申告手続きを指す漢字四文字の言葉はなんでしょう？,確定申告
2024年10月30日に配信が開始された、スマートフォンでポケモンカードが遊べる株式会社ポケモンが運営するアプリはなんでしょう？,Pokémon Trading Card Game Pocket
ズバリ、古文で「はづかし」といった場合、現代語訳ではどのような意味になるでしょう？,立派だ
その背景はノルウェーのオスロにある坂道である、耳を塞いでいる人の姿を描いたエドヴァルド・ムンクの代表作はなんでしょう？,叫び
長年着ていると生地が伸びてデロンデロンになってくることもある、ユニクロが販売する吸湿発熱繊維が使われたインナーウェアはなんでしょう？,ヒートテック
 惑星や月などの天体の大気、温度、表面の地形や生態系を地球の環境に似せて意図的に変更し、地球型の生命体が居住できるようにする仮想的なプロセスのことを英語でなんというでしょう？,テラフォーミング
魚と植物を同じシステムで育てる新しい農水産業のことを水産養殖と水耕栽培の英語を合わせた造語でなんというでしょう？,アクアポニックス
触れると硬いが実は個体ではなく液体に分類される、ケイ酸塩を主成分とする日本語では硝子(しょうし)という物質を英語でなんというでしょう？,ガラス
そのタイトルはジョージオーウェルの代表作が由来となっている、天吾と青豆が再会を目指す物語である村上春樹の12作目の長編小説はなんでしょう？,１Q８４
2025年2月現在、日本には約2950店舗を展開する、2025年2月5日から「N.Y.バーガーズ」の新作を期間限定で発売した大手ハンバーガーチェーンはどこでしょう？,マクドナルド
日本では3月の誕生石にもなっており、刺胞動物門に属する動物のうち、固い骨格を発達させる海の生物はなんでしょう？,サンゴ
2025年2月4日に放送された回の後では「声変わり」がXで話題となった、アニメ「ちいかわ」に登場する猫と思われるキャラクターはなんでしょう？,ハチワレ
企業専用にカスタマイズされた最先端AI「クリスタル・インテリジェンス」の開発・販売でOpenAIと提携すると発表した日本の企業はどこでしょう？,ソフトバンクグループ △ソフトバンク
2025年3月15日のダイヤ改正から3号車も指定席に変更される、東海道・山陽新幹線で運行する新幹線の名称はなんでしょう？,のぞみ
その名前は英語で「いつも気持ちの良い環境を」という意味の言葉の頭文字から付けられている、日本全国に多く展開するホテルはなんでしょう？,APA HOTEL
孔子の「論語」の一説から30歳のことをなんと呼ぶでしょう？,而立(じりつ)
ポケモンの名前にもなっている、好都合なことが重なり、ますます都合がよくなることを意味する慣用句の略称として一般的なものはなんでしょう？,かもねぎ
韓国のお箸が銀で作られていたのはこの毒が銀と反応すると変色するためという理由もある、元素番号33、元素記号Asの物質はなんでしょう？,ヒ素
MV冒頭ではメンバーがマネキンのようにショーウィンドウに配置される、2007年2月21日に発売されたアイドルグループ嵐の18枚目のシングル曲はなんでしょう？,Love so sweet
iOS17.1以降およびwatchOS 10.1以降で使用できる、iPhoneやApple Watchどおしを近づけて連絡先情報を共有する機能をなんというでしょう？,Name Drop
ホルダータイプとロールタイプの２つが一般的である、歯と歯の間の汚れを落とすための道具を英語でなんというでしょう？,デンタルフロス ⚪︎フロス
1階から4階まで突き抜けている巨大な焙煎貯蔵庫が特徴的な東京都目黒区青葉台にあるスターバックスの旗艦店の名前はなんでしょう？,スターバックスリザーブロースタリー東京
街中でもよく見かける、飛ばずに走る姿が特徴的で、スズメ目に分類される、白、黒、灰色の羽毛を持つ鳥はなんでしょう？,ハクセキレイ
ボンベイ、ヒマラヤン、シンガプーラなどの種類も存在する、クラッキングややわらかいものをふみふみする習性がある動物はなんでしょう？,ネコ
igという略称でも呼ばれる、Meta Platformsが開発・運営する 写真・動画共有SNSはなんでしょう？,Instagram
株式会社nobitelが運営し、独自技術「コアバランスストレッチ」を売りにしているストレッチ専門店はなんでしょう？,Dr.stretch(ドクターストレッチ)
葉の茶、ミウ おいしい水、梅よろしなどの製品を展開し、自動販売機コンサルタントの事業も行っている企業はなんでしょう？,ダイドードリンコ ⚪︎ダイドー
お笑いトリオ トンツカタンのメンバー 森本晋太郎の座右の銘でもある、2024年のM-1グランプリ決勝で令和ロマンの高比良くるまがネタの中で使用した勇気づけられるセリフであるボケはなんでしょう？,やらない後悔よりやって大成功
その本部はイギリスのオックスフォードにある、証明書を提出するか入会テストに合格すると入ることのできる世界最大の高IQ団体はなんでしょう？,MENSA
拳銃、ブーツ、帽子、蹄鉄、サボテン、保安官バッチ、車輪、牛の骨と数字がそれぞれ描かれた60枚のカードを配りきり、拳銃の0のカードからゲームを始めるトリックテイキングゲームはなんでしょう？,テキサスショーダウン
その芯がメルカリなどで取引されることもある、JIS規格で幅は114mmから誤差±2mm以下と定められている排泄時に用いる紙はなんでしょう？,トイレットペーパー
その風景は実在ではなく想像である、大きく描かれた糸杉や月が印象的なフィンセント・ファン・ゴッホの代表作の一つはなんでしょう？,星月夜
その名はNippon Individual Savings Accountの頭文字からつけられている、その口座で投資した金融商品から得られる利益に税金がかからない「少額投資非課税制度」の愛称はなんでしょう？,NISA
 つぼみの形が風船に似ていることから英語ではBalloon flowerという名前である、初夏から秋にかけて星形で紫色の花を咲かせる植物はなんでしょう？,キキョウ
自転車を運転する時のヘルメット着用もこれにあたる、法律の条文で「～するよう努めなければならない」と規定された内容のことを漢字四文字でなんというでしょう？,努力義務
2025年1月にオリオールズとの契約を発表した、2024年度のセントラル・リーグ「最優秀選手賞」を受賞した野球選手は誰でしょう？,菅野 智之（すがのともゆき）
 「花天狂骨枯松心中（かてんきょうこつ からまつしんじゅう）」や「残火の太刀（ざんかのたち）」などがこれにあたる、漫画BLEACHに登場する斬魄刀の2段階目の解放のことをなんというでしょう？,卍解
1615年に公布された、江戸幕府が天皇や公家を統制するために定めた法令のことを天皇を意味する言葉を用いてなんというでしょう？,禁中並公家諸法度
 19世紀後期に盛んに製作された形式で、前輪と後輪の直径が大きく異なる設計が特徴的な自転車のことをイギリスでの呼び方でなんというでしょう？,ペニー・ファージング
三角形の相似条件とは、３組の辺の比がすべて等しいこと、２組の角がそれぞれ等しいこととあと一つはなんでしょう？,２組の辺の比とその間の角が それぞれ等しいこと
金属が光るのはこれが存在するためである、金属の原子間を動きまわる電子のことを漢字四文字でなんというでしょう？,自由電子
2024年7月現在、業界内では店舗数1位である、株式会社FOOD&LIFE COMPANIES傘下の回転寿司チェーンはなんでしょう？,スシロー
ダイナソー サファリやホライゾン バルーンなどのアトラクションを楽しむことができる2025年7月25日に沖縄でオープン予定のテーマパークはなんでしょう？,ジャングリア
2025年2月21日からシャープ株式会社から”喋る”えりぃと家電が発売される、ホロライブ所属のVtuberはだれでしょう？,さくらみこ
生物分類学における分類階級の最高位とメールアドレスの@より右側に共通するカタカナ四文字の名称はなんでしょう？,ドメイン
二進法では111100、ローマ数字ではLX、素因数分解すると2^2 × 3 × 5と表される数字は10進数ではなんでしょう？,60
「グスコーブドリの伝記」や「ポラーノの広場」といった作品もある、1933年に37歳で没している岩手県出身の童話作家はだれでしょう？,宮沢賢治
QuizKnockの東言が白紙のフリップをオープンするときによく発言する印象もある、ジョン・ロックによって提起された生まれたばかりの人間の心は白紙の状態であるという概念はなんでしょう？,タブラ・ラサ
「昨日(きのう)」、「今日(きょう)」、「明日(あした)」はすべてこれである、日本語において漢字からなる単語に、単字単位ではなく全体で訓読みを当てたものをなんというでしょう？,熟字訓
ルパート・グリント、エマ・ワトソン、ダニエル・ラドクリフの3人の俳優が中心的な登場人物を演じる、ワーナー・ブラザーズによって映画化されたJ・K・ローリングの作品はなんでしょう？,ハリーポッター
それから発生する熱がチューリップの温室栽培に使われている例もある、暗号資産の取引データの確認および承認作業をすることで報酬としてその暗号資産を受け取る行為をなんというでしょう？,マイニング
1999年にSME Recordsよりリリースされたポルノグラフティのメジャーデビューシングルはなんでしよう？,アポロ
発生する磁界の向きは電流の流れる方向に見て、導線を中心に時計回りに回るように発生する法則のことをある道具を使った表現でなんというでしょう？,右ねじの法則
釣りで「一束」といったとき、釣った魚何尾のことでしょう？,100尾
色、氷、高の後につくとこどもの遊びになる、日本の妖怪はなんでしょう？,鬼
1984年にはAppleが、2025年にはOpenAIがTV放送にCMを提供した、アメリカで毎年2月に開催されるNFLの優勝決定戦のことをなんというでしょう？,スーパーボウル
その発言の山とはエベレストのことである、ニューヨーク・タイムズの記者からの質問に対し「そこに山があるから」と答えたことで有名な登山家は誰でしょう？,ジョージマロリー
外壁タイルにおいて、短辺を直角にして焼いたものを「曲がり」と言いますが、長辺を直角にして焼いたものをなんというでしょう？,まぐさ
サソリ座が上がってくると沈んでいく、日本では秋から春先にかけて見ることのできる星座はなんでしょう？,オリオン座
ソニーグループ株式会社が保有するAIとIT技術を活用して開発したタクシー配車用アプリケーションはなんでしょう？,S.RIDE(エスライド)
その缶に使われているダイヤカットの三角の形状は、NASAで高速飛行体の胴体を強化する研究から生まれた、KIRINの販売する缶チューハイはなんでしょう？,氷結
ジョーカーを除くトランプ52枚の数字を全て足すといくつになるでしょう？,364
第47代アメリカ大統領に就任したドナルド・トランプにより設置された「政府効率化省」の略称と、同省を率いるイーロン・マスクが支持する暗号資産に共通する名称はなんでしょう？,DOGE
音だけでなく光でも起こる現象である、波の発生源が移動したりその観測者が移動したりして波の周波数が実際とは異なる値として観測される現象をなんというでしょう？,ドップラー効果
英語では「utility pole」ともいう、日本では一般的に道路脇に立ち、空中に張った架線を支えるための設備をなんというでしょう？,電柱
オフィスの天井などによくみかける、不規則にくぼみのついた模様のことをある石材に由来する名称からなんというでしょう？,トラバーチン模様
日本からみると北東の方向にある、クルチェフスカヤ山など多くの火山を抱える、面積約37万平方キロメートルのロシアの半島はなんでしょう？,カムチャッカ半島
むやみにたくさん飲み食いすることを鯨と馬という漢字を使ってなんというでしょう？,鯨飲馬食
エクトプラズム、グラントリノ、オールマイトなどのヒーローが登場する、「無個性」だった主人公が最高のヒーローを目指して成長してゆく様子を描いた堀越耕平による漫画はなんでしょう？,僕のヒーローアカデミア
Q ONE株式会社により運営されている、ランダムマッチとフリーマッチの2種類のモードで早押しクイズを楽しめるクイズゲームアプリはなんでしょう？,みんなで早押しクイズ
その名前は修道僧の衣装の様子に由来する、首の後ろから背中にかけて広がる筋肉はなんでしょう？,僧帽筋
北、南、東、西、中、武蔵、美園という言葉がつく駅が存在する埼玉県の地名はなんでしょう？,浦和
手作りへのこだわりを表すボトルトップの赤い封蝋が印象的な、サントリーグローバルスピリッツが保有するアメリカ製バーボン・ウイスキーの銘柄はなんでしょう？,Maker’s Mark
スモールピー、ケーゼロ、ダッフィエーマイナスなどが日本では極めてまれなものとして登録されている、赤血球の表面にある抗原の種類や有無による分類のことを一般的になんというでしょう？,血液型
ロゴマークの背中合わせの男女はアダムとイブを表している、イタリアのアパレル及びスポーツ関連アイテムを展開するブランドはなんでしょう？,Kappa
80歳のお祝いを傘寿といいますが、90歳のお祝いをなんというでしょう？,卒寿
Glico神戸ファクトリーで自家焙煎したカカオを使用したこだわりのチョコレートがおいしい、江崎グリコの販売するお菓子シリーズはなんでしょう？,神戸ローストショコラ
カナズミシティ、ムロタウン、ミシロタウンなどの街が登場する、ポケットモンスタールビー/サファイアなどで冒険の舞台となる架空の地方はどこでしょう？,ホウエン地方
ガラスや鋼鉄などに傷をつけることができる石英のモース硬度はいくつでしょう？,7
その名はイタリア語で「開拓者」という意味である、巨峰とマスカットオブアレキサンドリアの交配により誕生したブドウの品種はなんでしょう？,ピオーネ
ぺんてるの「P200」シリーズ、PILOTの「エアブラン」、三菱鉛筆の「ユニ アルファゲル」などの製品がある機械式鉛筆のことを日本では一般的になんというでしょう？,シャープペンシル ⚪︎シャーペン
別名を「ザイオンス効果」ともいう、ある刺激に繰り返し接触することでその刺激に対してポジティブな評価を持つようになることを何効果というでしょう？,単純接触効果
本や冊子を開いたときの内側部分にあたる、中央の綴じ目がくる部分のことを人間のある部位と同じ音でなんというでしょう？,ノド
ヘルヘイム、ミズガルズ、アースガルズなど9つの世界を内包する存在とされる、北欧神話で世界を体現する巨大な木のことを古ノルド語からなんというでしょう？,ユグドラシル
こまかっぱ、ナスキー、アルクマといったご当地ゆるキャラが魅力を発信する日本の都道府県はどこでしょう？,長野県
「Old Enough!」というタイトルでNetflixでも配信されている、幼い子供が親からお願いされた買い物などに挑戦する様子を描く、日本テレビ系列で放送されるバラエティ番組はなんでしょう？,はじめてのおつかい
アイドルなどが行う握手会において一番初めに握手することを錠を操作するための道具を用いてなんというでしょう？,鍵開け
これの地下茎を食べると体があたたまるのはジンゲロールという成分による効果でもある、英語でginger(ジンジャー)という植物はなんでしょう？,生姜
気象庁が設置しているアメダス約1300地点と独自観測機を合わせ、全国に約１万3000ヶ所の観測網を備える日本の天気予報アプリはなんでしょう？,ウェザーニュース
ツネ子、シヅ子、ヨシ子という3人の女性が登場し、主人公が「僕は、女のいないところに行くんだ。」というセリフを発するシーンもある太宰治の小説はなんでしょう？,人間失格
漢字では狩猟の猟に虎や、海に獺（カワウソ）と書く、石で貝を割って食べる姿が特徴的な生き物はなんでしょう？,ラッコ
椅子の上に置かれたこれの上に座り、壊れないことで頑丈さをアピールするCMが印象的だった眼鏡型ルーペ商品はなんでしょう？,ハズキルーペ
吹き流し、懸崖(けんがい)、直幹(ちょっかん)などの形のものは評価が高い、樹木を鉢植えにし、剪定などを行うことで自然の美しさを表現したものをなんというでしょう？,盆栽
「愛を解く」、「a.m.3:21」、「春を告げる」などの楽曲がある日本のミュージシャンは誰でしょう？,yama
前４世紀にマケドニアのアレクサンドロス大王がギリシアからオリエント世界までを征服した結果として生まれた文化のことをなんというでしょう？,ヘレニズム
昨今、投資信託などで人気の高い「オルカン」とはなんの略でしょう？,オール・カントリー
日本の祝日法において、「自然をたたえ、生物をいつくしむ」日とされているのはいつでしょう？,春分の日
2025年1月にはトランプ大統領がこれの禁止措置を一時的に停止した、中国企業ByteDance（バイトダンス）が運営する動画に特化したSNSはなんでしょう？,TikTok
現在は剥製がスコットランド博物館に展示されている、1996年にロスリン研究所で世界で初めて哺乳類の体細胞クローンとして生み出された羊の名前はなんでしょう？,ドリー
その信者数は約11億人と世界で三番目に多いが、民族宗教のために一般的に世界三大宗教には数えられない、インドで最も信仰されている宗教はなんでしょう？,ヒンドゥー教
日光を浴びると体内で生成される、不足すると骨が柔らかくなり変形しやすくなる くる病を引き起こすビタミンはなんでしょう？,ビタミンD
米澤穂信の小説「ボトルネック」にも登場する、近年はグリーンフラッシュが見られることでも話題の柱状節理が特徴的な福井県の景勝地はどこでしょう？,東尋坊
WindowsでパソコンのIPアドレスなどネットワーク設定を確認するためのコマンドはなんでしょう？,ipconfig
マダム・ジーナとの電話中に言った「飛ばねえ豚はただの豚だ」というセリフも有名な、魔法で豚の姿になった映画「紅の豚」の主人公の名前はなんでしょう？,ポルコ・ロッソ
元々は女房言葉であり、「田楽」が由来となっているという説がある、こんにゃく、つみれ、大根などの具を入れた日本の料理はなんでしょう？,おでん
オレンジ地に白いラクダが描かれたイラストをアイコンとしpixivが運営する、ユーザーが同人誌や電子書籍、各種グッズなどを販売できるサービスはなんでしょう？,booth
ホモ・サピエンスの強みは集団で虚構を共有できることだと主張する、著書に「21 Lessons」、「ホモ・デウス」、「サピエンス全史」がある、イスラエルの歴史学者は誰でしょう？,ユヴァル・ノア・ハラリ
女性から男性への夜遊びの誘いとして使われたという説もある、その名を意訳すると「私を元気付けて」という意味であるスイーツはなんでしょう？,ティラミス
観測したデータとスケールを揃えることにより、データのばらつきを直感的に理解しやすくなるという効果がある、各データと平均値の差を２乗した値の和をデータの個数で割り、さらにその値の平方根をとることにより求められる値のことをなんというでしょう？,標準偏差
松屋や松のやと併設されていることが多い、松屋フーズが展開するカレー専門店はなんでしょう？,マイカリー食堂
ボーンシックル、アンフィスバエナ、サイクロンなどの種類がある、ゲームモンスターハンターの武器はなんでしょう？,双剣
このブランドを象徴する色は「チェレステ」といいイタリア語で碧空（あおぞら/へきくう）や天空といった意味である、1885年にイタリアで創業した老舗自転車ブランドはなんでしょう？,Bianchi（ビアンキ）
「相手を圧倒する」、「条件を受け入れる」、「液体などを体内に送り込む」ことに共通する動詞はなんでしょう？,飲む
１チーム８人、１試合は２分間のセットを３セット行う、プレー時は浴衣を着用というルールがある伊東温泉で行われるスポーツはなんでしょう？,まくら投げ
スコット・フィッツジェラルドの小説を原作とする、ある日突然、人々の前に現れたミステリアスな大富豪の知られざる過去と、上流階級の女性との禁じられた愛を描く映画のタイトルはなんでしょう？,華麗なるギャツビー ⚪︎The Great Gatsby
一般的に半発酵茶であるウーロン茶をベースに作る点でジャスミンティーとは区別される、沖縄県で親しまれているジャスミンの香りが特徴的なお茶はなんでしょう？,さんぴん茶
口分田の広さに応じて稲を納める税、労役の代わりに一定量の布を納める税、土地の特産品を納める税という律令時代の日本で課せられていた３つの税をまとめてなんというでしょう？,祖庸調
〇〇には答えが入ります。2025年1月に低コストで高性能なAI「〇〇-R1」を発表し、多くの半導体企業株価の下落を招いた中国の生成AI開発企業はなんでしょう？,DeepSeek
仏教における苦しみを表した四苦八苦とは、生、老、病、死、愛別離苦、怨憎会苦、求不得苦とあと一つはなんでしょう？,五蘊盛苦(ごうんじょうく)
シャーリー・テンプル、バージンモヒート、シンデレラなどがこれにあたる、アルコールを含まないカクテルのことを「真似た」という意味の英語を用いた造語でなんというでしょう？,モクテル
全長11mのものも確認されたことがある、日本では「見かけると地震や津波などの前触れ」という迷信がひろまっている赤マンボウ目に属する銀白色の深海魚はなんでしょう？,リュウグウノツカイ
業者用塗料の容器にも使われる、18リットル缶のことを尺貫法の単位はなんでしょう？,一斗缶
フランス革命時に議会で保守派が議長から見て右側に座ったことが由来とされる、政治的に保守的な思想を持つ人や組織の呼び方はなんでしょう？,右翼
新潮文庫から出版されている三島由紀夫の小説「金閣寺」のカバーに使用されている、燃え盛る炎とその上に舞う蛾を描いた速水御舟の作品はなんでしょう？,炎舞
その名前はギリシャ語の螺旋と翼を意味する言葉が組み合わさったもので、大きな回転翼を機体の上方に取りつけ、それをエンジンで回して浮力をつけ、地上滑走をせずに発着する航空機を英語でなんというでしょう？,ヘリコプター
落ち着いていてどんなことにも動じないさまを「若い」という漢字を使ってなんというでしょう？,泰然自若
垂直は英語でバーティカルですが、平行は英語でなんというでしょう？,パラレル
なぎらけんいちの歌、「一本でもにんじん」の歌詞で「よつぶでも」の後に続く、調味料はなんでしょう？,ごましお
ブラウザの作業中タブを閉じるためのショートカットキーは「Ctrl + 何」でしょう？,"W,F4"
その価値は現代の100円ほどである、朝早く起きることはこれくらいの徳といわれるわずかな金額はなんでしょう？,三文
ある山脈の標高800m~1200mのエリアで栽培されたもののことを指す、ジャマイカで採れる高級コーヒーの品種はなんでしょう？,ブルーマウンテン
県立北高入学早々、自己紹介で「ただの人間には興味ありません。この中に宇宙人、未来人、異世界人、超能力者がいたら、あたしのところに来なさい。以上。」と述べた谷川流が書いたあるライトノベルシリーズのヒロインは誰でしょう？,涼宮ハルヒ
地図記号において、四角形の中央に黒い点が描かれたものは何を表すでしょう？,水準点
