問題,答え
マツ、スギ、イチョウ、ソテツなどがこれに分類される、胚珠が剥き出しになっている植物のことをなんというでしょう？,裸子植物
物事の道筋を意味する「けいい（経緯）」を熟字訓として読んだときの読み方はなんでしょう？,いきさつ
失礼な弟子希望者とそれを断る陶芸家のネタを決勝で披露し、2009年のM-1グランプリで優勝した吉本興業所属のお笑いコンビはなんでしょう？,パンクブーブー
英語では「mediterranean sea(メディテレニアン シー)」という、ダーダネルス海峡でマルマラ海と、スエズ運河で紅海と、ジブラルタル海峡で大西洋と接続する海はなんでしょう？,地中海
2025年2月23日現在は、「【じゃんけんが全て】第１回サバイバルしりとり晩御飯！」が最も再生されている動画である、愛知県岡崎市に拠点を置く6人組Youtuberグループはなんでしょう？,東海オンエア
「開かれた大学」という建学の理念を体現し、メインのキャンパスには正門がないことが特徴的な、茨城県と東京都にキャンパスを置く国立大学はどこでしょう？,筑波大学
予想だにしないことが突然起きることを雷を意味する二字熟語を用いてなんというでしょう？,青天の霹靂
2019年には同量の銀の価格を上回ったことが話題となった、マダガスカルが世界一の生産量を誇るアイスでお馴染みのスパイスはなんでしょう？,バニラ
マサチューセッツ工科大学の教授が自身の研究の製品化などを行う企業として設立した、オーディオ機器類を展開するアメリカの企業はなんでしょう？,BOSE
東京メトロ日比谷線、東京メトロ千代田線、JR常磐線、東部スカイツリーライン、つくばエクスプレスの5路線が乗り入れる、東京都足立区の駅はどこでしょう？,北千住駅
和名を「金緑石」といい、その名はロシア皇太子の名前に由来する、光源によって色が変わる特徴を持つ宝石はなんでしょう？,アレキサンドライト
花札に光札は5枚ありますが、タネ札は何枚あるでしょう？,9枚
子どもの「やる気スイッチ」を入れるためのアプローチに特色を持つ、株式会社やる気スイッチグループが展開する学習塾はなんでしょう？,スクールIE
セルフネイル、セルフホワイトニング、セルフ脱毛などのサービスも店舗内で利用できるRIZAPグループが展開する無人小型トレーニング店はなんでしょう？,chocoZAP
ミスユニバースをめぐって10人の男たちが競い合う恋愛リアリティショーを描きながら様々な問題が提起される、第172回芥川賞を受賞した安藤ホセによる作品はなんでしょう？,DTOPIA
酸素を利用した代謝機構を備えていることを好気性といいますが、生育に酸素を必要としないことをなんというでしょう？,嫌気性
韓国発祥で、スマートフォンやタブレットで読みやすいように作られた縦読みとフルカラーが特徴の漫画の形式をなんというでしょう？,webtoon
「トレフォイル」や「スリーバー」といったロゴが製品にあしらわれることが多い、ヨーロッパ最大のスポーツウェアブランドはなんでしょう？,adidas
麻雀において索子のモチーフは竹ですが、筒子のモチーフはなんでしょう？,貨幣　△お金
頭の中だけで考えた実際には役に立たない理論や考えのことを事務作業などを行うための家具を用いた表現でなんというでしょう？,机上の空論
2025年のものは12月28日、日曜日に開催される、このレースを創設した理事長の名を冠した、毎年年末に中山競馬場で行われる中央競馬の重賞競走はなんでしょう？,有馬記念
糸島で育った米田結が高校入学早々に4人のギャルから博多ギャル連合、略してハギャレンの総代になってほしいと頼まれるところから物語が展開する、NHK「連続テレビ小説」第111作目の作品はなんでしょう？,おむすび
漢字で魚へんに「思う」と書くてなんと読むでしょう？,鰓(えら、あぎと、サイ)
英語で大人たちはadultsですが、子どもたちはなんというでしょう？,children
大意があっていれば○とします。ビルの窓にある下向きの赤い三角形は何を表しているでしょう？,非常時に消防隊が外から建物に侵入できる開口部であることを表す
ロック、ジャイアント、ピリオドの前につくと作品名となる、ある色の英語名はなんでしょう？,ブルー
学校の図工室や理科室で使われることが多い、木材でできており、側面に板のはられた椅子のことをなんというでしょう？,角椅子(かくいす)
SNSのXでのイラストの投稿でも見かける、作業中であることを表す「WIP」はなんという英語の略でしょう？,Work in progress
「続きはwebで」といった形式の広告もこの効果を利用している、達成できた事柄よりも達成できていない事柄や中断している事柄の方が強く記憶に残る効果のことをなんというでしょう？,ツァイガルニク効果
日本における時代区分である「弥生時代」の名前の由来となっている地名が存在する都道府県はどこでしょう？,東京都
ドイツやサウジアラビアにも施設を展開し、日本では麻布台などで作品を鑑賞できる、デジタル技術を駆使したアートが注目されている企業はなんでしょう？,チームラボ
1995年に放送されたテレビドラマ「愛していると言ってくれ」で榊晃次（さかき こうじ）役をつとめ、2024年のNetflixの作品「地面師たち」ではハリソン山中役をつとめた俳優は誰でしょう？,豊川悦司
一般的に玉ねぎ、にんじん、セロリがベースの野菜として入れられる、イタリア語で「具だくさん」という意味であるスープをなんというでしょう？,ミネストローネ
その名はフランス語で「われらの貴婦人」という意味であり聖母マリアを指している、セーヌ川の中洲に位置するシテ島にある聖堂の名前はなんでしょう？,ノートルダム大聖堂
2025年3月に発売から100周年を迎えた、卵黄、植物油、酢を主原料として作られるキユーピーの調味料はなんでしょう？,キユーピー　マヨネーズ
オルフェーブルなどが該当する、栗毛の中でもたてがみや尾毛（びもう）が白色や金色の馬のことをなんというでしょう？,尾花栗毛（おばなくりげ）
「免疫の司令塔」であるpDCを直接活性化させることで、さらに免疫細胞全体が活性化される効果が期待できる、KIRINや小岩井乳業の製品に活用されている菌はなんでしょう？,プラズマ乳酸菌
〇〇には答えが入ります。2025年2月23日をもってリリースから1周年を迎えた、広告内の「〇〇は詐欺よ！」や「キノキノも遊ばない！」といったセリフも一部で話題となったスマートフォンアプリゲームはなんでしょう？,キノコ伝説
心掛けなどかけなげで感心なことを「勝つ」という字を用いてなんというでしょう？,殊勝
2025年1月時点ではキャベツ、きゅうり、サトイモ、大根、トマト、なす、にんじん、ねぎ、白菜、ピーマン、レタス、タマネギ、馬鈴薯、ほうれん草の14品目が登録されている、特に消費量が多く国民生活に重要な野菜とされるものをなんというでしょう？,指定野菜
2025年2月28日をもって閉館し、その名前は「オルタナティブ」が由来だった、新宿三丁目に存在したビルはなんでしょう？,新宿アルタ
group_inouの楽曲「THERAPY」では「勇敢な犬」と歌われている、ロシアのシベリア原産で、全身を白い長毛におおわれている犬種はなんでしょう？,サモエド
2025年5月1日には映画作品が上映される、1978年に発売開始されたギンビスの人気お菓子はなんでしょう？,たべっ子どうぶつ
「踊り子」、「花占い」、「怪獣の花唄」などの楽曲がある、2000年生まれの日本のシンガーソングライターは誰でしょう？,Vaundy
目の虹彩の色もこれの量によって決まる、皮膚などに存在し、紫外線によるダメージから体を守る効果などがある物質はなんでしょう？,メラニン
その全長は93メートル、足元には引きちぎられた鎖と足枷があり、右手にはたいまつ、左手には独立宣言書を持った、ニューヨークのリバティ島にある像はなんでしょう？,自由の女神 世界を照らす自由
久留米、旭川、佐野、喜多方などの地域のものがご当地ものとして有名な、中国から伝わり日本で発展した麺料理はなんでしょう？,ラーメン
Webサイトを作成するときなどにコンテンツを複数用意し、どのコンテンツがユーザーに選ばれるかを検証する方法をアルファベットを用いてなんというでしょう？,ABテスト
フランス語ではコクリコ、英語ではシャーレイポピー、和名の別名は虞美人草というケシ科の一年草を日本で一般的になんというでしょう？,ヒナゲシ
コンピュータの五大機能とは、入力、出力、記憶、演算とあと一つはなんでしょう？,制御
一本倒すと書かれた数字分、複数本倒すと倒した本数分の点数が入る、モルックにおける的となる木の名前をなんというでしょう？,スキットル
ランチパイ、ドンタコス、カラムーチョなどの商品を展開する日本のお菓子メーカーはどこでしょう？,湖池屋
動物で、百の足と書くとムカデと読みますが、百と舌と書くとなんと読むでしょう？,モズ
名前に含まれる数は入っている具材の数を表しているわけではなく、単に「たくさん」という意味である、豚肉やキクラゲ、ニンジン、白菜などを炒め、片栗粉でとろみをつける中華料理をなんというでしょう？,八宝菜
○○には答えが入ります。「○○のアトリエ」という新規口座開設や資産形成に関する相談に対応するための個人客専門の店舗を展開する大手銀行はどこでしょう？,みずほ銀行
それが最も起こりやすいのは毎年3月、4月ごろとされる、トゥピ語で「大騒音」を意味するアマゾン川の逆流現象はなんでしょう？,ポロロッカ
2025年3月14日時点でリアルタイム翻訳機能の追加が計画されている、Appleの展開するワイヤレスイヤホンはなんでしょう？,AirPods
その名はポルトガル語で「ビーズ」を意味する言葉が由来であり、日本ではプロミスバンドとも呼ばれる、手首や足首につける手芸のアクセサリーはなんでしょう？,ミサンガ
日本で「楽聖」というと特にこの人を指すことが多い、代表曲に「熱情」、「月光」、「運命」などがあるドイツ出身の作曲家はだれでしょう？,ベートーヴェン
雨を表す言葉で「洗車雨」というものがありますが、この洗車雨は何月何日に降る雨のことを指すでしょう？,"7/6 
彦星の牛車を洗う雨"
2024年に2回目のJ1リーグ優勝を果たした、日本のサッカーチームはどこでしょう？,ヴィッセル神戸
漢字では倉に鼠と書き、切歯が伸び続ける特徴のある小さくてかわいい動物はなんでしょう？,ハムスター
メガネにおいて、テンプルの開閉により負担がかかりやすい、リムからテンプルにつながる部分のことをなんというでしょう？,智(よろい)
「幸福が飛んでくる」という花言葉を持ち、開店や開業の時のお祝いとして贈られることの多い花はなんでしょう？,胡蝶蘭
肉の隠語で、「さくら」というと馬肉のことですが、「ぼたん」といったときは何の肉のことでしょう？,イノシシ
世界経済の動きに敏感に反応し価格が上下することから「ドクター」という異名もある、原子番号29、元素記号Cuの金属はなんでしょう？,銅 カッパー
2025年3月5日に総合スーパーマーケットの西友の買収を発表した、福岡市に本社をおく流通小売企業はなんでしょう？,トライアルホールディングス
日本からオーストラリアへの旅行では起きづらい、地域通しの時刻の差により体の不調が起きることを一般になんというでしょう？,時差ボケ
2025年現在、Microsoft製のアプリケーションであるWordやExcelで使用される通常のファイルにつく拡張子の最後のアルファベット1文字はなんでしょう？,x
パスタが器のようになることでソースや具材とよくからむ、貝殻のような形をしたパスタをイタリア語からなんと言うでしょう？,コンキリエ
音符の上下に短い横棒をひくことで表現される、「音の長さを十分に伸ばして演奏する」ことを意味する演奏記号はなんでしょう？,テヌート
"元の言語では「Veni, vidi, vici(ウェーニー、ウィーディー、ウィーキー)」という、共和制ローマの将軍ユリウス・カエサルがゼラの戦いの勝利を報告した時の有名なフレーズを日本語でなんというでしょう？",「来た、見た、勝った」
謎の天才科学者ネモ船長によって明かされる、見たことのない地底世界。神秘的な光景に目を奪われていると、突然火山性の震動が発生！地底走行車は噴火とともに吹き上げられ…。」という説明文で公式Webサイトでは紹介されている、東京ディズニーシーにあるアトラクションはなんでしょう？,センター・オブ・ジ・アース
平成11年1月18日に都バスが75周年を迎えたことを記念して一般公募した中から選ばれた、都バスのマスコットキャラクターの名前はなんでしょう？,みんくる
Creepy nutsの楽曲「合法的トビ方ノススメ」内の歌詞にも登場する、フランス語で「運命の女」を意味する言葉はなんでしょう？,ファムファタール
人間の大人の細胞は基本的に古い細胞が新しい細胞に入れ替わりますが、例外的に入れ替わりが発生しない細胞もあります。それは神経細胞とどこの細胞でしょう？,心筋　○心臓
普及してすぐは書いてある字が「便を垂れる」と見えることから酔った人がおしっこをしてしまうこともあったという、誰かに届けたいはがきや封筒などを投函するための設備はなんでしょう？,郵便ポスト
工事が始まることを「着工」といいますが、工事が終わることをなんというでしょう？,竣工
「旭日」、「ルネサンス」、「陰謀」などの拡張セットが存在する、各プレイヤーは小国の領主となって、カードを購入し、デッキを拡張していくゲームはなんでしょう？,ドミニオン
実は本当の春ではなく、晩秋から初冬に春のように暖かくなった日のことをいう漢字4文字の言葉はなんでしょう？,小春日和
東京ディズニーシーのタワー・オブ・テラーは高さ59mのため設置されていない、60m以上の物件に設置が義務づけられている、夜間に飛行する航空機に対して物件の存在を示すための電灯をなんというでしょう？,航空障害灯
白秋、山崎、響などのウイスキーを販売する日本の企業はどこでしょう？,サントリー
Webブラウザにおいて、検索結果画面に表示される、Webページの要約文や説明文のことをなんというでしょう？,スニペット
「このへんな生きものは まだ日本にいるのです。たぶん。」というキャッチコピーを糸井重里（いといしげさと）が手がけたジブリ映画はなんでしょう？,となりのトトロ
殻付きのまま焙煎した大麦の種子を湯で煎じたり、水で浸出して作った飲料を一般になんというでしょう？,麦茶
コシナガ、ミナミ、クロ、メバチなどの種類がいる、英語ではツナと発音する魚はなんでしょう？,マグロ
2025年3月26日に長年親しまれてきたブランドロゴをシンプルなものに変更した、京都市に本社をおく、あぶらとり紙を中心とした化粧品や雑貨を販売する企業はなんでしょう？,よーじや
カロリーゼロとは食品100gあたり5kcal未満であることを示しますが、カロリーオフとは食品100gあたり何kcal以下のことを示すでしょう？,20
1991年3月10日生まれ、身長188cm、徳島県立徳島商業高等学校卒業、ソニー・ミュージックレーベルズ所属、2012年に1stアルバム「diorama」をリリース、「リビングデッド・ユース」、「春雷」、「lemon」などの楽曲を持つ、このアーティストはだれでしょう？,米津玄師
花言葉は「どこでも成功」、「可憐」、「あなたを許す」であり、和名を瑠璃唐草という春に咲く花で、国営ひたち海浜公園で丘一面のこれを見れることが有名な花はなんでしょう？,ネモフィラ
頭部は極めて高い耐久性を持つが、尻尾のような部分を折ると全体が爆発するように砕け散る、溶かしたガラスを冷水に落として作られる滴型の物体をある国の名前を用いてなんというでしょう？,オランダの涙
全51条からなり、日本最初の武家法とされる、1232年に北条泰時によって武士たちの統制のため制定された法律をなんというでしょう？,"御成敗式目
○貞永式目"
服のサイズでXLというとエクストララージのことですが、ローマ数字でXLというといくつのことを表すでしょう？,40
イランの油田で働いていたアメリカの作業員が混ぜるのに使った工具から名前がつけられたとされる、ウォッカとオレンジジュースを混ぜて作られるカクテルはなんでしょう？,スクリュードライバー
HEXカラーコードでは#800020、フランスの地名がその名の由来であり、ワインレッドより暗く茶色味の強い色のことをなんというでしょう？,バーガンディ
中心の「中」や串焼きの「串」の部首はなんでしょう？,ぼう/たてぼう
理由を答える問題です。大意○。毎年7月17日は世界絵文字デーとされています。ではなぜ7月17日が世界絵文字デーなのでしょう？,2002年にAppleがカレンダーアプリの前身のソフトウェアを発表し、それに伴いiOSのカレンダー絵文字が7/17になっているから。
出入国在留管理庁、公安審査委員会、公安調査庁といえば日本のどこの省の外局でしょう？,法務省
毎日の食卓牛乳、食物繊維がとれる五穀生地のチョコインスナック、果汁100% オレンジとみかんなどのラインナップが存在する、セブンアンドアイ・ホールディングスが展開するプライベートブランドはなんでしょう？,セブンプレミアム
内向的な性格からいじめを受けてきた少女 石森羽花(いしもり うか)が街で出会った少年 三浦 界(みうら かい)からの一言をきっかけに八美津(はちみつ)高校へ進学するというあらすじである、村田真優(むらた まゆ)による漫画はなんでしょう？,ハニーレモンソーダ
皮膚を擦りむいた時などにガーゼなどを用いて傷口を乾かして治すのではなく、湿らせて治す方法をなんというでしょう？,"湿潤療法
⚪︎モイストヒーリング"
テトラヒドロカンナビノールなどの物質による向精神作用を持ち、2024年にこれの使用により摘発された中学生が26人と過去最多になった薬物はなんでしょう？,大麻
前作以来22年ぶりの新作となる、乗り物に乗ったカービィを操作しレースなどを楽しむことのできる2025年発売予定のゲームはなんでしょう？,カービィのエアライダー
ランタノイド元素15種類にスカンジウムとイットリウムを加えた17種の総称をなんというでしょう？,"レアアース
⚪︎希土類元素"
考案したレストランオーナーの名前が付けられている、卵、アボカド、トマトなどを角切りにしたアメリカ発祥のサラダはなんでしょう？,コブサラダ
ウイルスや細菌にさらされることを漢字２文字でなんというでしょう？,曝露
小学4年生のアオヤマが住む街にある日突然、たくさんのペンギンが現れるというあらすじの、2018年にアニメ映画化された森見 登美彦(もりみ とみひこ)の小説はなんでしょう？,ペンギン・ハイウェイ
河川の3作用とは、侵食、運搬とあと一つはなんでしょう？,堆積
"大意があっていれば⚪︎
韓国語のユンスル（윤슬）とはどのようなことを表す言葉でしょう？日本語では一つの単語では表せない現象です。",水面に反射した太陽や月の光
赤瀬川原平らによる芸術的概念で、読売ジャイアンツにかつて所属した外国人選手に由来する言葉である、どこにもつながっていない階段など本来の目的を果たしていない不動産の付属物のことをなんというでしょう？,超芸術トマソン
ドイツ生まれでスイスに帰化した作家で、代表作に「ガラス玉演戯」、「車輪の下」、「少年の日の思い出」がある人は誰でしょう？,ヘルマン・ヘッセ
日本のアイスで、雪見だいふくは２個入りですが、ピノは何個入りでしょう？,６個
アメリカのある教育心理学者によって提唱された心理的概念で、人は他者から期待されると期待に沿った成果を出す傾向にあるということをなんというでしょう？,ピグマリオン効果/ローゼンタール効果
水田稲作ではほとんど発生しない、同じ作物を同じ土地で連続で栽培すると生育が極端に悪くなったり、収穫量が減ったりする現象をなんというでしょう？,連作障害
2016年の国民投票により選択され、2020年に実現した、イギリスか欧州連合から離脱したことを英語の混成語でなんというでしょう？,ブレグジット
ズバリ、日本国憲法は全何条で構成されているでしょう？,103条
麻雀において、その局の最後の捨て牌に対しロンして和了すると成立する役をなんというでしょう？,"河底撈魚(ほーていらおゆい)
"
会場のシンボルである大屋根リングは最大の木造建築としてギネス世界記録に認定された、2025年4月13日から10月13日の間に日本で開催されるイベントはなんでしょう？,大阪万博
フランスのダックスという都市がその名の由来である、アーモンド風味のメレンゲを使ったフランス発祥の焼き菓子はなんでしょう？,ダックワーズ
ユニクロやGUの会計時に活用されている技術である、電波を用いてタグのデータを非接触で読み書きするシステムのことをアルファベット4文字でなんというでしょう？,RFID
ドイツ語ではレッカー、フランス語ではセ・ボン、牛乳や無糖の前につくと製品名になる日本語の言葉はなんでしょう？,おいしい
これをすると「もういりません」という合図になってしまうこともある、食事の途中に器の上に箸を置く嫌い箸の一種はなんでしょう？,渡し箸
2025年に発売50周年を記念し、「飛び出したら勝ち」という発売当初のルールに戻されることが発表された、タカラトミーの発売するゲームはなんでしょう？,黒ひげ危機一髪
○○には答えが入ります。2026年春には続編の「映画○○〜約束の時計台〜」の公開が予定されている、2020年にも映画化された西野亮廣(にしのあきひろ)の絵本はなんでしょう？,えんとつ町のプペル
日本刀において、刀身が柄から抜けないように固定する、穴に通す部品をなんというでしょう？,目釘
国際的なハッカー集団の名前にも用いられている、英語で「匿名」を表す単語はなんでしょう？,anonymous
ゾーン型、アーチ式、重力式などの種類がある、川の流れをせきとめ、水を貯めるための構造物をなんというでしょう？,ダム
源氏物語において、光源氏の最初の正妻で、頭中将の兄弟にあたる登場人物は誰でしょう？,葵の上
一方を追求すると、もう一方を犠牲にしなければならないという関係性を英語でなんというでしょう？,トレードオフ
 2023年11月に日本やアメリカ、EUなどの国々の間で採択された「ブレッチリー宣言」とはどんなもののリスクについて書かれた文書でしょう？,AI
ズバリ、アポロ11号が月面着陸に成功したのは西暦何年でしょう？,1969年
黒地に金色の企業ロゴが印象的な、アサヒビールが2025年4月に新発売したビールの名前はなんでしょう？,ザ・ビタリスト
2025年4月に映画化されることが発表された、アメリカで創業され、日本にも展開する、キリンのジェフリーがメインキャラクターである玩具、ベビー用品専門チェーンはなんでしょう？,トイザらス
2025年4月には小田急の運営する「ちきゅうの谷」が新たに開業する、神奈川県箱根町にある爆裂火口で、黒たまごが有名な観光地はどこでしょう？,大涌谷
本名を春名ヒロ子という、アニメ とっとこハム太郎のハム太郎の飼い主である女の子の愛称はなんでしょう？,ロコちゃん
歯と歯の間が狭いことが元々の意味である、細かいことを気にして落ち着かないさまを意味する言葉はなんでしょう？,あくせく
糖質は1gで約4kcal、タンパク質も1gで約4kcalですが、脂質は1gで約何kcalでしょう？,9kcal
2024年と2025年にはエジプト、エチオピア、イラン、アラブ首長国連邦、インドネシアが加入し計10ヶ国となった、当初はブラジル、ロシア、インド、中国の四カ国から始まった新興国グループはなんでしょう？,BRICS
○○には答えが入ります。2025年4月には「○○のもの」が発売された、「心地よく、くつろげる、やさしいお酒」をコンセプトとするサントリーのアルコールシリーズはなんでしょう？,ほろよい
本名での下の名前の読み方はのりあきという、代表的な建築に「豊田スタジアム」や「国立新美術館」がある建築家はだれでしょう？,黒川紀章
開発したドイツの技術者の名前がついており、燃料には軽油を使う、吸気、圧縮、燃焼、排気の四工程のサイクルによって動作するエンジンはなんでしょう？,ディーゼルエンジン
スペイン語で「ココナッツの上澄み皮膜」という意味である、ココナッツ果汁を発酵させゲル化させたフィリピン発祥の食品はなんでしょう？,ナタデココ
大意○ 厳格なユダヤ教徒のためのエレベーターには「安息日モード」というものが存在します。これが作動するとエレベーターはどのような動きをするでしょう？,ボタンを押さずに階に止まり、扉が自動で開く。全ての階に止まる場合が多い。
人を人とも思わないずうずうしい態度や際限のないことを表す、「図」という字を使った3文字熟語でなんというでしょう？,野放図
英語では「Yellow Jacket」ということもあり、特に2回目以降に刺された場合にアナフィラキシーショックを起こす危険性がある、虫の一種はなんでしょう？,スズメバチ
アフリカ系の伝統的な髪型の一種で、頭皮に沿って細かく編み込むスタイルのことを仕上がりがトウモロコシに似ていることからなんというでしょう？,コーンロー
漢字の雪に、送り仮名の「ぐ」をつけるとなんと読むでしょう？,すすぐ、そそぐ
日本語では自食作用という、細胞が自分の中の不要なものや壊れた部分を分解・再利用する仕組みのことをギリシャ語由来の言葉でなんというでしょう？,オートファジー
主人公のパク・セロイが大財閥チャンガへの復讐と成功を目指すストーリーが人気となった韓国のドラマはなんでしょう？,梨泰院クラス
2025年5月7日には3D版が発売、InnerSlothにより開発された、日本では「宇宙人狼」とも呼ばれるゲームはなんでしょう？,AmongUs
16時、16時30分、17時、17時30分、このうち東京23区内における冬至の日の入り時刻に最も近いのはどれでしょう？,16時30分
死んだ瞬間に生まれ変わるかつ人間の一生を80年とすると、題名のこれはリリースから240年前の1776年ごろでアメリカでは独立宣言が発布されたくらいと概算できる、愛する人をずっと昔から探し続けた歌詞が印象的な、2016年の映画「君の名」の主題歌であるRADWINPSの楽曲はなんでしょう？,前前前世
1933年にアメリカで設立された市民保全部隊、TSUTAYAを運営する企業、ローマ数字で300、これらから連想されるアルファベット3文字はなんでしょう？,CCC
